schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,correctness_passed,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,copy_roofline_gbps,copy_roofline_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float16,float16,same,1e-06,True,0.223587,False,8.512,8.352,9.5488,8396800,986.466209,4148.155822,23.780838,4,33587200,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,float16,float16,same,1e-06,True,,False,12.736,12.2144,25.936,8396800,659.296476,4148.155822,15.893725,4,33587200,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float16,float16,same,1e-06,True,1077.197646,False,22.112001,21.7728,23.7216,12601344,569.887101,4148.155822,13.738324,4,50405376,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float16,float16,same,1e-06,True,,False,18.128,17.270399,19.0464,12601344,695.131502,4148.155822,16.757603,4,50405376,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float16,float32,float32,1e-06,True,0.217089,False,8.416,7.9808,8.7744,8404992,998.692036,4148.155822,24.075567,4,33619968,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,float16,float32,float32,1e-06,True,,False,51.663999,50.016001,53.9648,8404992,162.685666,4148.155822,3.921879,4,33619968,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float16,float32,float32,1e-06,True,1087.833161,False,18.56,18.0384,19.731199,12617728,679.834491,4148.155822,16.388837,4,50470912,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float16,float32,float32,1e-06,True,,False,108.064,104.752,156.550403,12617728,116.761623,4148.155822,2.814784,4,50470912,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,bfloat16,bfloat16,same,1e-06,True,0.283035,False,8.368,7.8944,8.6816,8396800,1003.441692,4148.155822,24.190067,4,33587200,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,bfloat16,same,1e-06,True,,False,12.64,12.3744,12.896,8396800,664.303781,4148.155822,16.014437,4,33587200,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,bfloat16,bfloat16,same,1e-06,True,1065.608496,False,24.064,22.208,38.304001,12601344,523.65958,4148.155822,12.623913,4,50405376,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,bfloat16,bfloat16,same,1e-06,True,,False,18.48,17.3344,19.6608,12601344,681.890906,4148.155822,16.438411,4,50405376,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,bfloat16,float32,float32,1e-06,True,0.292549,False,8.448,8.32,8.8416,8404992,994.909083,4148.155822,23.984371,4,33619968,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,bfloat16,float32,float32,1e-06,True,,False,52.735999,50.140799,226.3392,8404992,159.378643,4148.155822,3.842157,4,33619968,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,bfloat16,float32,float32,1e-06,True,1119.488874,False,18.784,18.006399,22.7104,12617728,671.727442,4148.155822,16.193399,4,50470912,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,bfloat16,float32,float32,1e-06,True,,False,157.456003,147.024,178.643197,12617728,80.134944,4148.155822,1.931821,4,50470912,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float32,float32,same,1e-06,True,0.432037,False,10.512,10.0832,11.0688,16793600,1597.564696,4148.155822,38.512649,4,67174400,188743680,True,48
1,torch,torch.nn.functional.rms_norm,fwd,512,4096,float32,float32,same,1e-06,True,,False,12.848,12.448,14.4096,16793600,1307.098377,4148.155822,31.510349,4,67174400,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float32,float32,same,1e-06,True,1048.460159,False,21.408,20.7808,22.8288,25200640,1177.159939,4148.155822,28.37791,4,100802560,188743680,True,48
1,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float32,float32,same,1e-06,True,,False,21.552,20.7584,23.0976,25200640,1169.294718,4148.155822,28.188303,4,100802560,188743680,True,48
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float16,float16,same,1e-06,True,558.159941,False,45.792,44.374399,48.991999,49158000,1073.506281,4148.155822,25.879121,4,196632000,188743680,False,48
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float16,float16,same,1e-06,True,,False,24.863999,23.2,31.868799,49158000,1977.075342,4148.155822,47.66155,4,196632000,188743680,False,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,float16,float16,same,1e-06,True,1094.030095,False,84.144,82.512002,90.672001,73756384,876.549535,4148.155822,21.131066,3,221269152,188743680,False,36
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,float16,float16,same,1e-06,True,,False,78.32,75.055998,87.328002,73756384,941.73115,4148.155822,22.702405,3,221269152,188743680,False,36
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,float16,float32,float32,1e-06,True,602.504324,False,45.648001,44.528,51.0816,49164000,1077.024158,4148.155822,25.963927,4,196656000,188743680,False,48
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,float16,float32,float32,1e-06,True,,False,185.375996,184.128001,194.137603,49164000,265.212331,4148.155822,6.3935,4,196656000,188743680,False,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,float16,float32,float32,1e-06,True,1078.277201,False,80.607999,78.127999,91.92,73768384,915.149673,4148.155822,22.061603,3,221305152,188743680,False,36
1,torch,torch.nn.functional.rms_norm autograd,bwd,4096,3000,float16,float32,float32,1e-06,True,,False,437.904,435.312003,470.464006,73768384,168.45789,4148.155822,4.061031,3,221305152,188743680,False,36
1,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,4096,3000,bfloat16,bfloat16,same,1e-06,True,550.990888,False,46.560001,44.867199,49.7504,49158000,1055.798955,4148.155822,25.452249,4,196632000,188743680,False,48
1,torch,torch.nn.functional.rms_norm,fwd,4096,3000,bfloat16,bfloat16,same,1e-06,True,,False,24.639999,23.7152,31.657599,49158000,1995.048742,4148.155822,48.094836,4,196632000,188743680,False,48
1,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,4096,3000,bfloat16,bfloat16,same,1e-06,True,1070.75105,False,85.312001,83.472002,92.128001,73756384,864.548748,4148.155822,20.841762,3,221269152,188743680,False,36
